                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.50647,                0.37022,                 1.5376,                0.70534,                0.75925,                0.75193,                0.62458,                0.65653,                0.83667,                 1.7269,              0.0010323,              0.0010323,              0.0010323
                     95,                0.50869,                 0.3689,                 1.5357,                0.66894,                0.78955,                0.74156,                0.62038,                0.64601,                0.84926,                 1.6819,              0.0010315,              0.0010315,              0.0010315
                     96,                0.49802,                0.36724,                 1.5277,                 0.7128,                0.78633,                0.76764,                0.64362,                0.64315,                0.82874,                 1.7665,              0.0010306,              0.0010306,              0.0010306
                     97,                0.50616,                0.37608,                 1.5413,                0.62328,                0.73882,                 0.6754,                 0.5594,                0.66098,                0.95852,                 1.7249,              0.0010298,              0.0010298,              0.0010298
                     98,                0.50052,                0.36756,                 1.5291,                0.74501,                0.73805,                0.76578,                0.64193,                0.66336,                0.86563,                 1.6809,              0.0010289,              0.0010289,              0.0010289
                     99,                  0.512,                0.36963,                 1.5206,                0.67937,                0.74412,                0.73538,                 0.6089,                0.65248,                0.88317,                 1.7082,              0.0010281,              0.0010281,              0.0010281
                    100,                0.50466,                0.36384,                 1.5298,                0.69128,                0.76005,                0.74239,                0.61855,                0.65975,                0.86628,                 1.7325,              0.0010272,              0.0010272,              0.0010272
                    101,                0.49851,                0.35784,                 1.5174,                0.66488,                 0.7662,                0.72676,                0.60846,                0.66546,                0.89768,                 1.6914,              0.0010264,              0.0010264,              0.0010264
                    102,                 0.4882,                0.34639,                 1.5258,                0.68702,                0.74174,                0.72733,                0.60934,                0.64281,                0.89118,                 1.7073,              0.0010255,              0.0010255,              0.0010255
                    103,                0.49402,                 0.3441,                 1.5147,                 0.7114,                0.74245,                0.73167,                0.61153,                0.65675,                 0.8828,                 1.7244,              0.0010247,              0.0010247,              0.0010247
                    104,                0.48603,                0.34891,                 1.5287,                0.71636,                0.72622,                0.73067,                0.61642,                0.65039,                0.88751,                 1.7364,              0.0010239,              0.0010239,              0.0010239
                    105,                0.47507,                0.33976,                 1.5032,                0.69659,                0.74099,                0.72987,                0.60929,                0.65715,                0.98087,                 1.7344,               0.001023,               0.001023,               0.001023
                    106,                0.47777,                0.35933,                 1.5261,                0.64329,                0.74876,                0.69832,                0.57986,                0.66492,                0.95059,                 1.7451,              0.0010222,              0.0010222,              0.0010222
                    107,                0.48569,                0.37087,                   1.52,                0.72599,                0.72116,                0.73035,                0.60581,                0.66353,                0.88178,                 1.7148,              0.0010213,              0.0010213,              0.0010213
                    108,                0.48544,                0.36006,                 1.5217,                0.70056,                 0.7347,                0.73813,                0.61653,                0.66563,                 0.8594,                 1.8061,              0.0010205,              0.0010205,              0.0010205
                    109,                0.48827,                0.34983,                 1.5297,                0.66319,                0.78141,                0.75086,                 0.6303,                0.65234,                0.89808,                 1.7695,              0.0010196,              0.0010196,              0.0010196
                    110,                0.48584,                0.35025,                 1.5182,                 0.6656,                0.75867,                0.72534,                0.60034,                0.66876,                0.91709,                 1.7179,              0.0010188,              0.0010188,              0.0010188
                    111,                 0.4746,                 0.3364,                 1.5125,                0.67987,                0.78723,                0.75381,                0.62807,                  0.649,                0.85877,                 1.7517,              0.0010179,              0.0010179,              0.0010179
                    112,                 0.4794,                0.34697,                 1.5321,                0.68409,                0.76916,                0.73386,                0.60891,                0.65168,                 0.8721,                 1.7231,              0.0010171,              0.0010171,              0.0010171
                    113,                0.48465,                0.35275,                 1.5281,                0.68168,                0.76091,                0.73047,                0.60373,                 0.6531,                0.98723,                  1.724,              0.0010162,              0.0010162,              0.0010162
                    114,                0.48538,                0.34863,                  1.518,                0.75898,                0.72319,                0.75707,                 0.6285,                0.66387,                0.84676,                 1.7369,              0.0010154,              0.0010154,              0.0010154
                    115,                0.48656,                0.35077,                 1.5245,                0.69667,                0.77126,                0.74759,                0.62813,                0.65426,                0.86473,                 1.7756,              0.0010145,              0.0010145,              0.0010145
                    116,                0.47781,                0.33538,                 1.5066,                 0.6893,                0.74115,                 0.7401,                0.61772,                0.66042,                0.93836,                 1.7372,              0.0010137,              0.0010137,              0.0010137
                    117,                0.47804,                0.33425,                 1.5069,                0.65173,                0.77535,                0.71544,                0.59323,                0.66766,                0.93688,                 1.7195,              0.0010129,              0.0010129,              0.0010129
                    118,                0.48134,                0.33299,                 1.5186,                0.71133,                0.73753,                0.73613,                0.61342,                0.66339,                0.86003,                 1.8133,               0.001012,               0.001012,               0.001012
                    119,                 0.4769,                0.32931,                 1.4975,                0.67405,                0.78205,                 0.7416,                0.61818,                0.66257,                0.90684,                 1.7508,              0.0010112,              0.0010112,              0.0010112
                    120,                 0.4641,                 0.3215,                 1.5133,                0.74153,                0.70902,                0.74111,                0.61792,                0.65723,                0.88012,                 1.7407,              0.0010103,              0.0010103,              0.0010103
                    121,                0.47138,                0.32082,                 1.5018,                0.71935,                0.71082,                0.71238,                 0.5937,                0.65093,                0.92355,                 1.7532,              0.0010095,              0.0010095,              0.0010095
                    122,                 0.4498,                0.31429,                 1.5039,                 0.6735,                0.75521,                0.72131,                 0.6018,                0.65495,                0.94962,                 1.7417,              0.0010086,              0.0010086,              0.0010086
                    123,                  0.457,                0.32248,                 1.4894,                0.68929,                 0.7767,                  0.732,                 0.6063,                0.67278,                0.93222,                 1.7285,              0.0010078,              0.0010078,              0.0010078
                    124,                0.44827,                0.31596,                 1.5032,                0.71886,                0.74625,                0.73394,                0.61554,                0.65641,                0.96266,                 1.8264,              0.0010069,              0.0010069,              0.0010069
                    125,                0.46908,                0.32721,                 1.5114,                 0.6668,                0.80216,                0.74918,                0.62192,                 0.6678,                0.88727,                 1.7953,              0.0010061,              0.0010061,              0.0010061
                    126,                0.47652,                0.33322,                 1.5042,                0.66191,                0.76357,                0.71298,                0.59449,                0.65072,                0.89217,                 1.7468,              0.0010052,              0.0010052,              0.0010052
                    127,                0.46344,                0.32927,                 1.5017,                0.65031,                0.76046,                0.71065,                0.58929,                0.66687,                0.99805,                 1.7688,              0.0010044,              0.0010044,              0.0010044
                    128,                0.47266,                0.32637,                 1.5058,                0.71013,                0.72785,                0.73515,                0.61644,                0.64774,                0.87446,                 1.7189,              0.0010035,              0.0010035,              0.0010035
                    129,                0.46637,                 0.3208,                 1.5075,                0.69325,                0.76874,                0.73417,                0.61227,                 0.6654,                0.89805,                 1.8108,              0.0010027,              0.0010027,              0.0010027
                    130,                0.44904,                0.31274,                 1.4939,                0.73785,                0.77269,                0.76541,                0.64123,                0.64748,                0.86242,                 1.7896,              0.0010019,              0.0010019,              0.0010019
