class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,angle,confidence,File Name
complete,0.534071,0.883788,0.040653004919685876,0.08023498850875473,1.570292059010003,0.669322,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.728852,0.846184,0.04396807646463512,0.08164347824535652,1.5726499454868414,0.660212,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.024244295000000003,0.595357,0.04586207913996046,0.06419212770345052,1.5726536357228635,0.583789,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.023951965000000002,0.595709,0.04548644631370979,0.06406211763547089,1.5752270017548473,0.506198,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.7294324999999999,0.8454825,0.044819182779251954,0.08269536420501453,1.573641063162891,0.492456,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.048862050000000004,0.1723425,0.04652101797908122,0.07894934774043419,1.5699171541747425,0.475159,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.5339545,0.843113,0.04048710452724428,0.07811184157347724,1.5730563076333581,0.422496,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.12962975,0.817229,0.04245486559865661,0.08043139578081433,1.5801664150768722,0.410505,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.incomplete,0.01247385,0.83791,0.012026825967452968,0.04489780306970043,3.1216775359802833,0.352643,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.815088,0.848327,0.04917258351968093,0.08696101435700943,1.585866270144342,0.952466,T22L600_W1_A4_R4_P206_g225_6.txt
blurry.complete,0.9476905,0.8997815,0.0553534724475348,0.08939480120230706,1.5522959803865066,0.937416,T22L600_W1_A4_R4_P206_g225_6.txt
blurry.complete,0.8626385000000001,0.7407525,0.051444397527816384,0.0867227423747658,1.5479640956742386,0.93083,T22L600_W1_A4_R4_P206_g225_6.txt
complete,0.653072,0.18080049999999998,0.042456290287777136,0.0727440643489213,1.5670983975420762,0.927354,T22L600_W1_A4_R4_P206_g225_6.txt
complete,0.5417315,0.183048,0.04483648246684834,0.07680781705659911,1.566168330832176,0.924727,T22L600_W1_A4_R4_P206_g225_6.txt
complete,0.2546395,0.697898,0.04609436724807053,0.07964992319519205,1.5747989955731272,0.923995,T22L600_W1_A4_R4_P206_g225_6.txt
blurry.complete,0.8659135,0.285591,0.043122009067296505,0.08124336465829073,1.5776373550072278,0.923205,T22L600_W1_A4_R4_P206_g225_6.txt
