                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.45692,                 0.3583,                 1.3827,                0.78753,                0.59458,                0.62424,                0.52996,                0.54057,                 0.7072,                 1.6849,              0.0010695,              0.0010695,              0.0010695
                     51,                0.44628,                0.34323,                 1.4041,                0.74208,                0.63864,                0.62186,                0.53048,                0.53537,                0.69698,                 1.7391,              0.0010687,              0.0010687,              0.0010687
                     52,                 0.4582,                0.34719,                 1.4375,                0.75467,                0.62906,                0.62436,                0.53341,                0.54071,                0.69911,                 1.6769,              0.0010679,              0.0010679,              0.0010679
                     53,                 0.4675,                0.34519,                 1.4355,                0.75467,                0.62906,                0.62436,                0.53341,                0.54071,                0.69911,                 1.6769,               0.001067,               0.001067,               0.001067
                     54,                 0.4618,                0.33832,                 1.4091,                0.75441,                0.64186,                0.62842,                0.53448,                0.54361,                0.69999,                 1.6813,              0.0010662,              0.0010662,              0.0010662
                     55,                0.45656,                0.33808,                 1.3514,                0.77943,                0.60087,                0.62753,                0.53476,                0.53522,                0.71928,                 1.7763,              0.0010653,              0.0010653,              0.0010653
                     56,                0.43088,                 0.3381,                 1.4526,                0.77943,                0.60087,                0.62753,                0.53476,                0.53522,                0.71928,                 1.7763,              0.0010645,              0.0010645,              0.0010645
                     57,                0.43012,                0.31305,                 1.3519,                0.77827,                0.60058,                0.62441,                0.53243,                0.53757,                 0.7201,                 1.7324,              0.0010636,              0.0010636,              0.0010636
                     58,                0.42169,                0.33378,                 1.4755,                0.77827,                0.60058,                0.62441,                0.53243,                0.53757,                 0.7201,                 1.7324,              0.0010628,              0.0010628,              0.0010628
                     59,                0.46402,                0.33408,                 1.3771,                0.76217,                0.61072,                0.62012,                0.52811,                0.55021,                0.72976,                 1.6855,              0.0010619,              0.0010619,              0.0010619
                     60,                 0.4573,                0.32372,                 1.3721,                0.75645,                0.60379,                0.61281,                0.52428,                0.54125,                0.76108,                 1.7867,              0.0010611,              0.0010611,              0.0010611
                     61,                0.46145,                0.34148,                 1.4019,                0.75645,                0.60379,                0.61281,                0.52428,                0.54125,                0.76108,                 1.7867,              0.0010602,              0.0010602,              0.0010602
                     62,                0.46021,                0.35027,                 1.3689,                0.76498,                0.59069,                0.61417,                0.52305,                0.54864,                0.77827,                 1.7561,              0.0010594,              0.0010594,              0.0010594
                     63,                0.45615,                0.34886,                 1.4634,                0.77126,                  0.592,                0.61834,                0.52452,                0.54783,                0.75367,                 1.7298,              0.0010585,              0.0010585,              0.0010585
                     64,                0.47024,                 0.3304,                 1.3856,                0.77126,                  0.592,                0.61834,                0.52452,                0.54783,                0.75367,                 1.7298,              0.0010577,              0.0010577,              0.0010577
